"School","L1","L2","L3","UE","Decile","Region"
"Akaroa Area School",1,0.8,1,1,8,"Christchurch/Canterbury"
"Al-Madinah School",0.889,1,1,0.64,2,"Auckland"
"Albany Senior High School",0.905,0.904,0.882,0.701,10,"Auckland"
"Alfriston College",0.659,0.651,0.563,0.369,2,"Auckland"
"Amuri Area School",0.692,0.962,0.8,0.7,8,"Christchurch/Canterbury"
"Ao Tawhiti Unlimited Discovery",0.731,0.724,0.733,0.452,7,"Christchurch/Canterbury"
"Aorere College",0.657,0.824,0.67,0.329,2,"Auckland"
"Aotea College",0.826,0.819,0.523,0.372,5,"Wellington/Kapiti"
"Aparima College",0.967,0.9,0.769,0.429,6,"Invercargill/Southland"
"Aquinas College",0.932,0.989,0.948,0.875,8,"Bay of Plenty"
"Aranui High School",0.86,0.78,0.645,0.281,2,"Christchurch/Canterbury"
"Araura College",0.813,0.909,1,NA,0,"Pacific Islands"
"Ashburton College",0.885,0.907,0.731,0.538,6,"Christchurch/Canterbury"
"Auckland Girls' Grammar School",0.769,0.841,0.682,0.485,3,"Auckland"
"Auckland Grammar School",0.545,0.819,0.723,0.578,9,"Auckland"
"Auckland Seventh-Day Adventist High School",0.826,0.868,0.6,0.4,1,"Auckland"
"Aurora College",0.87,0.839,0.588,0.294,2,"Invercargill/Southland"
"Avondale College",0.941,0.908,0.889,0.643,4,"Auckland"
"Avonside Girls' High School",0.893,0.85,0.705,0.464,6,"Christchurch/Canterbury"
"Awatapu College",0.869,0.952,0.926,0.455,4,"Palmerston North/Manawatu"
"Baradene College of the Sacred Heart",0.976,1,0.973,0.946,9,"Auckland"
"Bay of Islands College",0.688,0.81,0.853,0.294,2,"Northland"
"Bayfield High School",0.835,0.879,0.877,0.712,7,"Dunedin/Otago"
"Bethlehem College",0.931,0.89,0.881,0.785,9,"Bay of Plenty"
"Birkenhead College",0.822,0.896,0.876,0.547,6,"Auckland"
"Bishop Viard College",0.838,0.911,0.649,0.459,1,"Wellington/Kapiti"
"Blue Mountain College",1,1,0.8,0.6,9,"Dunedin/Otago"
"Botany Downs Secondary College",0.875,0.946,0.887,0.785,9,"Auckland"
"Bream Bay College",0.831,0.927,0.743,0.571,5,"Northland"
"Broadwood Area School - Manganuiowae",1,0.889,1,0.25,1,"Northland"
"Buller High School",0.846,0.773,0.775,0.6,5,"West Coast"
"Burnside High School",0.871,0.906,0.838,0.684,8,"Christchurch/Canterbury"
"Cambridge High School",0.953,0.977,0.974,0.648,9,"Hamilton/Waikato"
"Campion College",0.812,0.918,0.78,0.66,6,"Gisborne/East Coast"
"Canterbury International College Limited (School)",NA,NA,0.182,0.182,0,"Christchurch/Canterbury"
"Carmel College",0.97,0.986,0.935,0.854,9,"Auckland"
"Cashmere High School",0.901,0.923,0.864,0.736,9,"Christchurch/Canterbury"
"Catholic Cathedral College",0.928,0.959,0.949,0.692,4,"Christchurch/Canterbury"
"Central Hawke's Bay College",0.779,0.816,0.638,0.413,4,"Hawkes Bay"
"Central Southland College",0.878,0.865,0.673,0.537,6,"Invercargill/Southland"
"Chanel College",0.725,0.741,0.769,0.538,5,"Wairarapa"
"Cheviot Area School",0.714,0.583,0.5,0.5,4,"Christchurch/Canterbury"
"Chilton Saint James School",0.977,0.947,1,0.975,10,"Wellington/Kapiti"
"Christ's College",0.96,0.983,0.924,0.89,10,"Christchurch/Canterbury"
"Christchurch Adventist School",1,1,0.818,0.545,5,"Christchurch/Canterbury"
"Christchurch Boys' High School",0.913,0.947,0.849,0.726,10,"Christchurch/Canterbury"
"Christchurch Girls' High School",0.957,0.99,0.959,0.842,9,"Christchurch/Canterbury"
"Christian Renewal School",0.867,0.941,0.714,0.429,4,"Northland"
"Coastal Taranaki School",0.882,0.923,0.75,0.5,7,"New Plymouth/Taranaki"
"Collingwood Area School",1,0.9,0.5,NA,7,"Nelson/Marlborough"
"Columba College",0.974,0.988,0.933,0.907,10,"Dunedin/Otago"
"Cornerstone Christian School",0.909,NA,NA,NA,7,"Palmerston North/Manawatu"
"Coromandel Area School",0.818,0.571,1,0.4,3,"Hamilton/Waikato"
"Craighead Diocesan School",0.929,0.985,0.953,0.828,9,"Christchurch/Canterbury"
"Cromwell College",0.864,0.923,0.774,0.438,8,"Dunedin/Otago"
"Cullinane College",1,0.97,1,0.481,4,"Palmerston North/Manawatu"
"Dannevirke High School",0.945,0.961,0.8,0.418,4,"Hawkes Bay"
"Darfield High School",0.93,0.964,0.871,0.629,9,"Christchurch/Canterbury"
"Dargaville High School",0.819,0.89,0.878,0.449,3,"Northland"
"De La Salle College",0.718,0.844,0.642,0.295,1,"Auckland"
"Dilworth School",0.957,0.953,0.883,0.675,4,"Auckland"
"Diocesan School for Girls",0.988,0.985,0.986,0.95,10,"Auckland"
"Dunstan High School",0.826,0.845,0.754,0.723,8,"Dunedin/Otago"
"East Otago High School",0.714,1,0.824,0.647,6,"Dunedin/Otago"
"Edgecumbe College",0.872,0.8,1,0.154,3,"Bay of Plenty"
"Edgewater College",0.788,0.789,0.74,0.424,2,"Auckland"
"Elim Christian College",0.86,0.832,0.835,0.762,8,"Auckland"
"Ellesmere College",0.901,0.971,0.878,0.659,8,"Christchurch/Canterbury"
"Enuamanu School",0.143,1,1,0.5,0,"Pacific Islands"
"Epsom Girls' Grammar School",0.919,0.963,0.909,0.839,9,"Auckland"
"Excellere College",0.818,1,1,0.455,5,"Northland"
"Fairfield College",0.563,0.849,0.631,0.185,3,"Hamilton/Waikato"
"Feilding High School",0.791,0.865,0.791,0.506,5,"Palmerston North/Manawatu"
"Fiordland College",0.9,0.903,1,0.944,9,"Invercargill/Southland"
"Flaxmere College",0.98,0.95,0.868,0.067,1,"Hawkes Bay"
"Forest View High School",0.871,0.862,0.69,0.172,2,"Taupo"
"Francis Douglas Memorial College",0.942,0.939,0.974,0.818,8,"New Plymouth/Taranaki"
"Fraser High School",0.807,0.827,0.65,0.415,4,"Hamilton/Waikato"
"Freyberg High School",0.71,0.771,0.719,0.434,5,"Palmerston North/Manawatu"
"Garin College",0.929,0.952,0.857,0.683,8,"Nelson/Marlborough"
"Geraldine High School",0.875,0.942,0.745,0.627,8,"Christchurch/Canterbury"
"Gisborne Boys' High School",0.926,0.889,0.776,0.391,3,"Gisborne/East Coast"
"Gisborne Girls' High School",0.876,0.936,0.832,0.546,3,"Gisborne/East Coast"
"Glendowie College",0.97,0.956,0.927,0.768,10,"Auckland"
"Glenfield College",0.927,0.951,0.944,0.662,6,"Auckland"
"Golden Bay High School",0.911,0.842,0.833,0.7,6,"Nelson/Marlborough"
"Gore High School",0.955,0.904,0.833,0.6,6,"Invercargill/Southland"
"Green Bay High School",0.933,0.915,0.847,0.667,8,"Auckland"
"Greymouth High School",0.828,0.865,0.636,0.409,4,"West Coast"
"Hagley Community College",0.761,0.736,0.735,0.549,6,"Christchurch/Canterbury"
"Hamilton Boys' High School",0.906,0.956,0.848,0.62,7,"Hamilton/Waikato"
"Hamilton Christian School",0.927,0.944,0.95,0.9,9,"Hamilton/Waikato"
"Hamilton Girls' High School",0.854,0.889,0.776,0.58,6,"Hamilton/Waikato"
"Hastings Boys' High School",0.978,0.985,0.989,0.629,2,"Hawkes Bay"
"Hastings Christian School",0.963,1,0.929,0.786,7,"Hawkes Bay"
"Hastings Girls' High School",0.941,0.944,0.894,0.524,3,"Hawkes Bay"
"Hato Paora College",0.923,0.833,1,0.875,4,"Palmerston North/Manawatu"
"Hato Petera College",0.5,0.9,0.5,NA,3,"Auckland"
"Hauraki Plains College",0.993,0.993,0.978,0.533,5,"Hamilton/Waikato"
"Havelock North High School",0.985,0.929,0.894,0.796,8,"Hawkes Bay"
"Hawera High School",0.752,0.823,0.718,0.494,5,"New Plymouth/Taranaki"
"Hebron Christian College",1,0.75,0.909,0.818,7,"Auckland"
"Henderson High School",1,0.989,0.966,0.443,3,"Auckland"
"Heretaunga College",0.796,0.795,0.6,0.33,6,"Wellington/Kapiti"
"Hillcrest High School",0.855,0.883,0.787,0.63,7,"Hamilton/Waikato"
"Hillmorton High School",0.871,0.8,0.667,0.373,4,"Christchurch/Canterbury"
"Hornby High School",0.703,0.714,0.482,0.304,3,"Christchurch/Canterbury"
"Horowhenua College",0.783,0.81,0.89,0.634,3,"Palmerston North/Manawatu"
"Howick College",0.807,0.884,0.878,0.738,8,"Auckland"
"Hukarere",0.714,0.842,1,0.786,2,"Hawkes Bay"
"Huntly College",0.756,0.884,0.684,0.333,1,"Hamilton/Waikato"
"Hurunui College",0.7,0.857,0.857,0.714,7,"Christchurch/Canterbury"
"Hutt International Boys' School",1,0.989,1,0.92,10,"Wellington/Kapiti"
"Hutt Valley High School",0.882,0.852,0.838,0.624,8,"Wellington/Kapiti"
"Inglewood High School",0.927,0.986,0.938,0.594,7,"New Plymouth/Taranaki"
"Iona College",1,1,0.972,0.972,10,"Hawkes Bay"
"James Cook High School",0.728,0.788,0.713,0.273,1,"Auckland"
"James Hargest College",0.898,0.907,0.778,0.651,8,"Invercargill/Southland"
"John McGlashan College",0.99,1,0.93,0.754,10,"Dunedin/Otago"
"John Paul College",0.995,0.994,0.974,0.661,7,"Taupo"
"John Paul II High School",0.846,0.882,0.818,0.636,6,"West Coast"
"Kaiapoi High School",0.805,0.832,0.746,0.493,7,"Christchurch/Canterbury"
"Kaikohe Christian School",0.643,0.667,0.6,0.333,2,"Northland"
"Kaikorai Valley College",0.937,0.922,0.813,0.479,5,"Dunedin/Otago"
"Kaikoura High School",0.941,0.895,1,0.588,4,"Nelson/Marlborough"
"Kaipara College",0.877,0.968,0.869,0.607,7,"Auckland"
"Kaitaia Abundant Life School",0.636,0.762,0.833,0.571,2,"Northland"
"Kaitaia College",0.778,0.876,0.71,0.358,2,"Northland"
"Kamo High School",0.893,0.88,0.829,0.447,4,"Northland"
"Kapiti College",0.953,0.967,0.954,0.756,8,"Wellington/Kapiti"
"Karamu High School",0.895,0.954,0.867,0.629,4,"Hawkes Bay"
"Katikati College",0.872,0.885,0.846,0.672,6,"Bay of Plenty"
"Kavanagh College",0.88,0.879,0.811,0.674,8,"Dunedin/Otago"
"Kelston Boys' High School",0.857,0.765,0.693,0.289,3,"Auckland"
"Kelston Girls' College",0.793,0.906,0.737,0.396,2,"Auckland"
"Kerikeri High School",0.875,0.912,0.824,0.58,6,"Northland"
"Kia Aroha College",0.864,0.857,1,0.214,1,"Auckland"
"King's College",0.526,0.845,0.872,0.826,10,"Auckland"
"King's High School",0.926,0.969,0.823,0.662,7,"Dunedin/Otago"
"Kingslea School",NA,0.286,NA,NA,1,"Christchurch/Canterbury"
"Kingsway School",0.888,0.965,0.96,0.9,9,"Auckland"
"Kristin School",0.989,1,0.913,0.899,10,"Auckland"
"Kuranui College",0.941,0.942,0.804,0.529,6,"Wairarapa"
"Lawrence Area School",1,1,1,0.8,6,"Dunedin/Otago"
"Lincoln High School",0.939,0.912,0.886,0.6,10,"Christchurch/Canterbury"
"Lindisfarne College",0.922,0.943,0.92,0.867,9,"Hawkes Bay"
"Linwood College",0.841,0.654,0.631,0.431,3,"Christchurch/Canterbury"
"Liston College",0.964,0.93,0.956,0.772,5,"Auckland"
"Logan Park High School",0.821,0.874,0.79,0.766,7,"Dunedin/Otago"
"Long Bay College",0.909,0.942,0.909,0.783,10,"Auckland"
"Longburn Adventist College",0.868,0.784,0.979,0.551,5,"Palmerston North/Manawatu"
"Lynfield College",0.794,0.888,0.827,0.625,6,"Auckland"
"Lytton High School",0.842,0.765,0.526,0.237,3,"Gisborne/East Coast"
"Mackenzie College",1,0.955,1,0.615,8,"Christchurch/Canterbury"
"Macleans College",0.923,0.874,0.896,0.701,9,"Auckland"
"Mahurangi College",0.933,0.906,0.88,0.713,7,"Auckland"
"Mairehau High School",0.86,0.872,0.925,0.625,4,"Christchurch/Canterbury"
"Makoura College",0.95,0.945,0.879,0.353,3,"Wairarapa"
"Mana College",0.924,0.8,0.738,0.233,3,"Wellington/Kapiti"
"Manawatu College",0.791,0.804,0.88,0.692,2,"Palmerston North/Manawatu"
"Mangaia School",1,0.75,NA,NA,0,"Pacific Islands"
"Mangakahia Area School",0.75,0.6,0.5,NA,3,"Northland"
"Mangere College",0.738,0.71,0.767,0.291,1,"Auckland"
"Maniototo Area School",0.909,1,0.667,0.667,8,"Dunedin/Otago"
"Manukau Institute of Technology",0.696,0.913,0.667,0.333,0,"Auckland"
"Manukura",0.974,1,1,0.905,5,"Palmerston North/Manawatu"
"Manurewa High School",0.692,0.759,0.678,0.379,1,"Auckland"
"Marcellin College",0.806,0.957,0.792,0.558,2,"Auckland"
"Marian College",0.98,0.958,0.932,0.811,8,"Christchurch/Canterbury"
"Marist College",0.99,0.981,0.942,0.709,7,"Auckland"
"Marlborough Boys' College",0.647,0.815,0.664,0.477,6,"Nelson/Marlborough"
"Marlborough Girls' College",0.904,0.939,0.877,0.578,7,"Nelson/Marlborough"
"Massey High School",0.734,0.77,0.795,0.519,4,"Auckland"
"Matamata College",0.809,0.848,0.679,0.553,6,"Hamilton/Waikato"
"Mauke School",0.714,NA,NA,NA,0,"Pacific Islands"
"McAuley High School",0.931,0.986,0.929,0.654,1,"Auckland"
"Melville High School",0.656,0.857,0.69,0.319,4,"Hamilton/Waikato"
"Menzies College",0.75,0.783,0.727,0.545,5,"Invercargill/Southland"
"Mercury Bay Area School",0.877,0.958,0.719,0.606,5,"Hamilton/Waikato"
"Michael Park School",NA,0.952,0.808,0.692,8,"Auckland"
"Middleton Grange School",0.961,0.943,0.94,0.769,9,"Christchurch/Canterbury"
"Morrinsville College",0.738,0.871,0.833,0.6,6,"Hamilton/Waikato"
"Motueka High School",0.873,0.802,0.746,0.493,5,"Nelson/Marlborough"
"Mount Albert Grammar School",0.886,0.949,0.869,0.684,7,"Auckland"
"Mount Aspiring College",0.923,0.934,0.913,0.769,10,"Dunedin/Otago"
"Mount Hutt College",0.944,0.917,0.896,0.625,9,"Christchurch/Canterbury"
"Mount Maunganui College",0.911,0.9,0.818,0.58,6,"Bay of Plenty"
"Mount Roskill Grammar School",0.887,0.863,0.732,0.563,4,"Auckland"
"Mountainview High School",0.774,0.833,0.776,0.448,6,"Christchurch/Canterbury"
"Mt Hobson Middle School",0.625,NA,NA,NA,0,"Auckland"
"Murchison Area School",1,0.875,1,0.75,4,"Nelson/Marlborough"
"Murupara Area School",0.857,0.667,0.615,0.071,1,"Bay of Plenty"
"Naenae College",0.626,0.77,0.692,0.429,3,"Wellington/Kapiti"
"Napier Boys' High School",0.835,0.891,0.797,0.681,6,"Hawkes Bay"
"Napier Girls' High School",0.98,0.984,0.94,0.838,6,"Hawkes Bay"
"Nayland College",0.847,0.862,0.667,0.462,6,"Nelson/Marlborough"
"Nelson College",0.751,0.845,0.766,0.552,7,"Nelson/Marlborough"
"Nelson College For Girls",0.897,0.899,0.845,0.716,7,"Nelson/Marlborough"
"New Plymouth Boys' High School",0.846,0.898,0.734,0.608,7,"New Plymouth/Taranaki"
"New Plymouth Girls' High School",0.96,0.97,0.871,0.767,7,"New Plymouth/Taranaki"
"Newlands College",0.929,0.903,0.828,0.757,9,"Wellington/Kapiti"
"Nga Taiatea Wharekura",0.767,0.93,0.85,0.56,2,"Hamilton/Waikato"
"Nga Tawa Diocesan School",1,1,1,0.897,9,"Palmerston North/Manawatu"
"Ngaruawahia High School",0.829,0.958,0.778,0.556,1,"Hamilton/Waikato"
"Ngata Memorial College",0.1,0.923,0.667,NA,1,"Gisborne/East Coast"
"Niue High School",0.826,0.826,0.8,0.267,0,"Pacific Islands"
"Northcote College",0.81,0.906,0.846,0.743,7,"Auckland"
"Northern Southland College",0.909,0.933,0.833,0.667,7,"Invercargill/Southland"
"Northland College",0.646,0.824,0.412,0.278,1,"Northland"
"Nukutere College",0.95,NA,NA,NA,0,"Pacific Islands"
"Okaihau College",0.766,0.857,0.667,0.481,2,"Northland"
"One Tree Hill College",0.868,0.888,0.886,0.403,3,"Auckland"
"Onehunga High School",0.704,0.775,0.699,0.491,3,"Auckland"
"Onewhero Area School",0.786,0.692,0.632,0.556,6,"Hamilton/Waikato"
"Onslow College",0.832,0.907,0.87,0.791,10,"Wellington/Kapiti"
"Opihi College",0.789,0.838,0.857,0.643,5,"Christchurch/Canterbury"
"Opononi Area School",0.286,0.667,0.6,NA,1,"Northland"
"Opotiki College",0.738,0.791,0.729,0.212,2,"Bay of Plenty"
"Opunake High School",0.938,0.983,0.879,0.382,4,"New Plymouth/Taranaki"
"Orewa College",0.865,0.939,0.943,0.793,9,"Auckland"
"Ormiston Senior College",0.856,0.846,0.798,0.667,7,"Auckland"
